Name;Supply Factor;Covering Duration (hours);Helicopter Speed;Ground Speed;Depot Candidates;Depot Capacity Percentage;Horizon (days);Frequency (days);Block Size;#Depots;#Facilities;#Unique Facilities;#Customers;#Modeled Individuals;Total Demand;Aircraft Type;p;Best solution total cost;Best solution routing cost;Best solution covering cost;Best solution unique facility count;Best solution longest route length;Best solution route lengths;Best solution nonempty routes;Best solution nonsingle routes;Best solution VNS iterations
Baghlan s0.5_Mi-8_hS150_gS10_dall_dP1_cD6_h1_f1_bs1;0.5;6;150;10;all;1;1;1;1;22;217;217;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS150_gS5_dall_dP1_cD1_h1_f1_bs1;0.5;1;150;5;all;1;1;1;1;22;635;635;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS150_gS5_dall_dP1_cD2_h1_f1_bs1;0.5;2;150;5;all;1;1;1;1;22;468;468;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS150_gS5_dall_dP1_cD4_h1_f1_bs1;0.5;4;150;5;all;1;1;1;1;22;363;363;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS150_gS5_dall_dP1_cD6_h1_f1_bs1;0.5;6;150;5;all;1;1;1;1;22;331;331;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS180_gS10_dall_dP1_cD1_h1_f1_bs1;0.5;1;180;10;all;1;1;1;1;22;466;466;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS180_gS10_dall_dP1_cD2_h1_f1_bs1;0.5;2;180;10;all;1;1;1;1;22;366;366;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS180_gS10_dall_dP1_cD4_h1_f1_bs1;0.5;4;180;10;all;1;1;1;1;22;287;287;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS180_gS10_dall_dP1_cD6_h1_f1_bs1;0.5;6;180;10;all;1;1;1;1;22;206;206;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS180_gS5_dall_dP1_cD1_h1_f1_bs1;0.5;1;180;5;all;1;1;1;1;22;639;639;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS180_gS5_dall_dP1_cD2_h1_f1_bs1;0.5;2;180;5;all;1;1;1;1;22;470;470;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS180_gS5_dall_dP1_cD4_h1_f1_bs1;0.5;4;180;5;all;1;1;1;1;22;367;367;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.5_Mi-8_hS180_gS5_dall_dP1_cD6_h1_f1_bs1;0.5;6;180;5;all;1;1;1;1;22;333;333;1572;11921;2777,5930000000003;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS120_gS10_dall_dP1_cD1_h1_f1_bs1;0.75;1;120;10;all;1;1;1;1;22;463;463;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS120_gS10_dall_dP1_cD2_h1_f1_bs1;0.75;2;120;10;all;1;1;1;1;22;365;365;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS120_gS10_dall_dP1_cD4_h1_f1_bs1;0.75;4;120;10;all;1;1;1;1;22;304;304;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS120_gS10_dall_dP1_cD6_h1_f1_bs1;0.75;6;120;10;all;1;1;1;1;22;218;213;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS120_gS5_dall_dP1_cD1_h1_f1_bs1;0.75;1;120;5;all;1;1;1;1;22;640;640;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS120_gS5_dall_dP1_cD2_h1_f1_bs1;0.75;2;120;5;all;1;1;1;1;22;463;463;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS120_gS5_dall_dP1_cD4_h1_f1_bs1;0.75;4;120;5;all;1;1;1;1;22;371;371;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS120_gS5_dall_dP1_cD6_h1_f1_bs1;0.75;6;120;5;all;1;1;1;1;22;332;332;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS150_gS10_dall_dP1_cD1_h1_f1_bs1;0.75;1;150;10;all;1;1;1;1;22;468;468;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS150_gS10_dall_dP1_cD2_h1_f1_bs1;0.75;2;150;10;all;1;1;1;1;22;362;362;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS150_gS10_dall_dP1_cD4_h1_f1_bs1;0.75;4;150;10;all;1;1;1;1;22;316;316;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS150_gS10_dall_dP1_cD6_h1_f1_bs1;0.75;6;150;10;all;1;1;1;1;22;224;218;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS150_gS5_dall_dP1_cD1_h1_f1_bs1;0.75;1;150;5;all;1;1;1;1;22;643;643;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS150_gS5_dall_dP1_cD2_h1_f1_bs1;0.75;2;150;5;all;1;1;1;1;22;464;464;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS150_gS5_dall_dP1_cD4_h1_f1_bs1;0.75;4;150;5;all;1;1;1;1;22;374;374;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS150_gS5_dall_dP1_cD6_h1_f1_bs1;0.75;6;150;5;all;1;1;1;1;22;332;332;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS180_gS10_dall_dP1_cD1_h1_f1_bs1;0.75;1;180;10;all;1;1;1;1;22;462;462;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS180_gS10_dall_dP1_cD2_h1_f1_bs1;0.75;2;180;10;all;1;1;1;1;22;372;372;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS180_gS10_dall_dP1_cD4_h1_f1_bs1;0.75;4;180;10;all;1;1;1;1;22;304;304;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS180_gS10_dall_dP1_cD6_h1_f1_bs1;0.75;6;180;10;all;1;1;1;1;22;210;204;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS180_gS5_dall_dP1_cD1_h1_f1_bs1;0.75;1;180;5;all;1;1;1;1;22;642;642;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS180_gS5_dall_dP1_cD2_h1_f1_bs1;0.75;2;180;5;all;1;1;1;1;22;463;463;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS180_gS5_dall_dP1_cD4_h1_f1_bs1;0.75;4;180;5;all;1;1;1;1;22;368;368;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s0.75_Mi-8_hS180_gS5_dall_dP1_cD6_h1_f1_bs1;0.75;6;180;5;all;1;1;1;1;22;336;336;1572;11921;4172,349999999999;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS120_gS10_dall_dP1_cD1_h1_f1_bs1;1;1;120;10;all;1;1;1;1;22;468;468;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS120_gS10_dall_dP1_cD2_h1_f1_bs1;1;2;120;10;all;1;1;1;1;22;374;374;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS120_gS10_dall_dP1_cD4_h1_f1_bs1;1;4;120;10;all;1;1;1;1;22;302;302;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS120_gS10_dall_dP1_cD6_h1_f1_bs1;1;6;120;10;all;1;1;1;1;22;268;216;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS120_gS5_dall_dP1_cD1_h1_f1_bs1;1;1;120;5;all;1;1;1;1;22;647;647;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS120_gS5_dall_dP1_cD2_h1_f1_bs1;1;2;120;5;all;1;1;1;1;22;466;466;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS120_gS5_dall_dP1_cD4_h1_f1_bs1;1;4;120;5;all;1;1;1;1;22;370;370;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS120_gS5_dall_dP1_cD6_h1_f1_bs1;1;6;120;5;all;1;1;1;1;22;341;341;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS150_gS10_dall_dP1_cD1_h1_f1_bs1;1;1;150;10;all;1;1;1;1;22;469;469;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS150_gS10_dall_dP1_cD2_h1_f1_bs1;1;2;150;10;all;1;1;1;1;22;371;371;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS150_gS10_dall_dP1_cD4_h1_f1_bs1;1;4;150;10;all;1;1;1;1;22;309;309;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS150_gS10_dall_dP1_cD6_h1_f1_bs1;1;6;150;10;all;1;1;1;1;22;252;202;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS150_gS5_dall_dP1_cD1_h1_f1_bs1;1;1;150;5;all;1;1;1;1;22;639;639;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS150_gS5_dall_dP1_cD2_h1_f1_bs1;1;2;150;5;all;1;1;1;1;22;465;465;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS150_gS5_dall_dP1_cD4_h1_f1_bs1;1;4;150;5;all;1;1;1;1;22;374;374;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS150_gS5_dall_dP1_cD6_h1_f1_bs1;1;6;150;5;all;1;1;1;1;22;336;336;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS180_gS10_dall_dP1_cD1_h1_f1_bs1;1;1;180;10;all;1;1;1;1;22;467;467;1572;11921;5567,107;Mi-8;20;3896,5364693107167;1435,466;2461,070469310717;125,0;25,0;25: 5x;;;401,0
Baghlan s1_Mi-8_hS180_gS10_dall_dP1_cD2_h1_f1_bs1;1;2;180;10;all;1;1;1;1;22;368;368;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS180_gS10_dall_dP1_cD4_h1_f1_bs1;1;4;180;10;all;1;1;1;1;22;304;303;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS180_gS10_dall_dP1_cD6_h1_f1_bs1;1;6;180;10;all;1;1;1;1;22;261;207;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS180_gS5_dall_dP1_cD1_h1_f1_bs1;1;1;180;5;all;1;1;1;1;22;634;634;1572;11921;5567,107;Mi-8;20;5189,0750988378495;2923,241;2265,834098837849;361,0;146,0;0: 4x, 39: 1x, 76: 1x, 100: 1x, 146: 1x;;;40,0
Baghlan s1_Mi-8_hS180_gS5_dall_dP1_cD2_h1_f1_bs1;1;2;180;5;all;1;1;1;1;22;464;464;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS180_gS5_dall_dP1_cD4_h1_f1_bs1;1;4;180;5;all;1;1;1;1;22;368;368;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
Baghlan s1_Mi-8_hS180_gS5_dall_dP1_cD6_h1_f1_bs1;1;6;180;5;all;1;1;1;1;22;327;327;1572;11921;5567,107;Mi-8;20;;;;;;nan;;;
