Instance;Lower_bound;Upper_bound
s25k40m5-alpha0.25;507,125;586,75
s25k40m5-alpha0.5;426,2500000000001;593,0
s25k40m5-alpha0.75;277,0;493,5
s25k50m1-alpha0.25;599,7500000000001;715,75
s25k50m1-alpha0.5;484,33333333333326;736,5
s25k50m1-alpha0.75;327,29166666666663;653,25
s25k50m2-alpha0.25;655,5;779,5
s25k50m2-alpha0.5;497,5;733,0
s25k50m2-alpha0.75;311,25;629,0
s25k50m3-alpha0.25;531,0;631,75
s25k50m3-alpha0.5;445,25;661,5
s25k50m3-alpha0.75;292,74999999999994;599,5
s25k50m4-alpha0.25;553,0;682,75
s25k50m4-alpha0.5;455,0;701,0
s25k50m4-alpha0.75;295,58333333333337;637,75
s25k50m5-alpha0.25;522,0;670,25
s25k50m5-alpha0.5;431,25;720,0
s25k50m5-alpha0.75;277,33333333333326;653,0
s35k40m1-alpha0.25;417,25;491,25
s35k40m1-alpha0.5;372,0;535,5
s35k40m1-alpha0.75;243,0;471,25
s35k40m2-alpha0.25;420,25;507,5
s35k40m2-alpha0.5;362,5;541,5
s35k40m2-alpha0.75;240,4583333333333;488,0
s35k40m3-alpha0.25;387,25;486,0
s35k40m3-alpha0.5;336,0;539,5
s35k40m3-alpha0.75;220,625;470,0
s35k40m4-alpha0.25;446,625;531,75
s35k40m4-alpha0.5;368,5;565,5
s35k40m4-alpha0.75;234,171875;496,5
s35k40m5-alpha0.25;440,25;535,25
s35k40m5-alpha0.5;375,5;566,0
s35k40m5-alpha0.75;242,79166666666663;491,5
s35k50m1-alpha0.25;485,25;594,5
s35k50m1-alpha0.5;417,25;629,0
s35k50m1-alpha0.75;284,6875;510,0
s35k50m2-alpha0.25;491,5;592,0
s35k50m2-alpha0.5;416,9166666666666;629,5
s35k50m2-alpha0.75;282,4166666666667;566,25
s35k50m3-alpha0.25;534,0;645,5
s35k50m3-alpha0.5;454,00000000000006;665,5
s35k50m3-alpha0.75;288,08333333333326;593,75
s35k50m4-alpha0.25;437,375;549,75
s35k50m4-alpha0.5;381,0000000000001;608,0
s35k50m4-alpha0.75;258,625;590,5
s35k50m5-alpha0.25;403,0;535,25
s35k50m5-alpha0.5;355,25;632,0
s35k50m5-alpha0.75;244,5;616,75
s35k60m1-alpha0.25;537,75;634,0
s35k60m1-alpha0.5;474,5;680,0
s35k60m1-alpha0.75;321,25000000000006;647,5
s35k60m2-alpha0.25;562,25;706,75
s35k60m2-alpha0.5;471,25;730,5
s35k60m2-alpha0.75;305,74305555555543;647,25
s35k60m3-alpha0.25;509,25;640,0
s35k60m3-alpha0.5;435,375;688,5
s35k60m3-alpha0.75;295,29166666666663;619,0
s35k60m4-alpha0.25;589,5;691,5
s35k60m4-alpha0.5;487,4166666666666;737,5
s35k60m4-alpha0.75;323,55208333333337;664,5
s35k60m5-alpha0.25;644,2499999999998;776,25
s35k60m5-alpha0.5;511,5;784,5
s35k60m5-alpha0.75;323,25;687,0
s35k70m1-alpha0.25;690,75;824,5
s35k70m1-alpha0.5;586,0;852,0
s35k70m1-alpha0.75;381,5833333333334;752,0
s35k70m2-alpha0.25;637,75;769,5
s35k70m2-alpha0.5;554,7500000000001;818,0
s35k70m2-alpha0.75;381,5833333333333;722,0
s35k70m3-alpha0.25;594,5;719,75
s35k70m3-alpha0.5;501,4166666666667;757,5
s35k70m3-alpha0.75;338,7291666666666;733,5
s35k70m4-alpha0.25;653,25;788,75
s35k70m4-alpha0.5;539,0;828,0
s35k70m4-alpha0.75;358,8333333333332;747,0
s35k70m5-alpha0.25;627,0;746,0
s35k70m5-alpha0.5;541,75;792,0
s35k70m5-alpha0.75;361,22916666666674;718,5
s40k50m1-alpha0.25;458,5;570,0
s40k50m1-alpha0.5;386,5833333333332;613,0
s40k50m1-alpha0.75;252,625;510,0
s40k50m2-alpha0.25;422,5;530,0
s40k50m2-alpha0.5;362,75;594,5
s40k50m2-alpha0.75;256,375;566,0
s40k50m3-alpha0.25;452,5;550,5
s40k50m3-alpha0.5;402,25;577,0
s40k50m3-alpha0.75;260,0625;499,25
s40k50m4-alpha0.25;490,75;578,5
s40k50m4-alpha0.5;394,25;625,5
s40k50m4-alpha0.75;242,125;565,0
s40k50m5-alpha0.25;462,5;615,0
s40k50m5-alpha0.5;384,5;638,5
s40k50m5-alpha0.75;242,29166666666663;593,75
s40k60m1-alpha0.25;542,75;681,25
s40k60m1-alpha0.5;454,25000000000006;721,5
s40k60m1-alpha0.75;297,0;641,5
s40k60m2-alpha0.25;508,25;630,5
s40k60m2-alpha0.5;433,24999999999983;686,5
s40k60m2-alpha0.75;295,0625;643,5
s40k60m3-alpha0.25;528,5;637,75
s40k60m3-alpha0.5;469,5;688,5
s40k60m3-alpha0.75;313,99999999999994;618,0
s40k60m4-alpha0.25;605,25;737,0
s40k60m4-alpha0.5;487,0;769,5
s40k60m4-alpha0.75;304,4791666666667;683,5
s40k60m5-alpha0.25;568,2500000000001;715,0
s40k60m5-alpha0.5;459,0;742,5
s40k60m5-alpha0.75;283,64583333333337;682,5
s40k70m1-alpha0.25;601,0;735,25
s40k70m1-alpha0.5;532,0;792,0
s40k70m1-alpha0.75;364,75;746,0
s40k70m2-alpha0.25;607,25;753,5
s40k70m2-alpha0.5;514,25;812,5
s40k70m2-alpha0.75;348,5833333333334;722,0
s40k70m3-alpha0.25;635,0;781,0
s40k70m3-alpha0.5;525,25;810,5
s40k70m3-alpha0.75;344,4583333333333;712,25
s40k70m4-alpha0.25;577,375;713,75
s40k70m4-alpha0.5;483,9166666666666;757,5
s40k70m4-alpha0.75;320,2708333333332;734,25
s40k70m5-alpha0.25;568,0;714,0
s40k70m5-alpha0.5;482,0;783,0
s40k70m5-alpha0.75;327,2916666666667;747,0
s40k80m1-alpha0.25;713,0;875,25
s40k80m1-alpha0.5;583,0;913,5
s40k80m1-alpha0.75;384,03125;826,5
s40k80m2-alpha0.25;689,25;858,25
s40k80m2-alpha0.5;558,75;885,5
s40k80m2-alpha0.75;351,6875;834,0
s40k80m3-alpha0.25;733,0;904,25
s40k80m3-alpha0.5;587,1666666666667;940,5
s40k80m3-alpha0.75;371,70833333333314;861,25
s40k80m4-alpha0.25;652,375;810,75
s40k80m4-alpha0.5;537,9166666666667;861,0
s40k80m4-alpha0.75;353,3333333333333;820,75
s40k80m5-alpha0.25;628,7500000000002;793,0
s40k80m5-alpha0.5;526,75;867,5
s40k80m5-alpha0.75;361,4375;827,5
s50k60m1-alpha0.25;437,125;557,25
s50k60m1-alpha0.5;411,5;656,5
s50k60m1-alpha0.75;287,0874999999998;632,25
s50k60m2-alpha0.25;487,75;617,75
s50k60m2-alpha0.5;424,7916666666667;683,0
s50k60m2-alpha0.75;284,4583333333334;626,0
s50k60m3-alpha0.25;490,625;618,25
s50k60m3-alpha0.5;409,4999999999999;679,0
s50k60m3-alpha0.75;267,81249999999994;643,25
s50k60m4-alpha0.25;480,25;601,5
s50k60m4-alpha0.5;421,375;664,0
s50k60m4-alpha0.75;280,0625;611,75
s50k60m5-alpha0.25;539,75;684,5
s50k60m5-alpha0.5;448,375;745,0
s50k60m5-alpha0.75;283,44999999999993;682,0
s50k70m1-alpha0.25;500,875;647,0
s50k70m1-alpha0.5;460,25;739,5
s50k70m1-alpha0.75;322,4583333333333;719,0
s50k70m2-alpha0.25;554,0;705,25
s50k70m2-alpha0.5;473,00000000000006;776,0
s50k70m2-alpha0.75;320,07291666666663;713,5
s50k70m3-alpha0.25;615,75;756,75
s50k70m3-alpha0.5;511,625;798,0
s50k70m3-alpha0.75;334,87499999999994;713,0
s50k70m4-alpha0.25;556,125;693,25
s50k70m4-alpha0.5;453,33333333333326;746,0
s50k70m4-alpha0.75;298,875;728,5
s50k70m5-alpha0.25;550,625;695,25
s50k70m5-alpha0.5;460,0000000000001;771,5
s50k70m5-alpha0.75;300,16666666666674;747,5
s50k80m1-alpha0.25;616,625;778,75
s50k80m1-alpha0.5;501,33333333333314;849,5
s50k80m1-alpha0.75;327,0624999999997;818,75
s50k80m2-alpha0.25;621,7500000000001;788,0
s50k80m2-alpha0.5;529,3333333333335;860,5
s50k80m2-alpha0.75;353,89583333333337;807,25
s50k80m3-alpha0.25;654,75;834,5
s50k80m3-alpha0.5;540,875;912,5
s50k80m3-alpha0.75;352,0000000000002;867,0
s50k80m4-alpha0.25;608,0;780,5
s50k80m4-alpha0.5;524,3333333333333;856,5
s50k80m4-alpha0.75;341,93750000000006;816,5
s50k80m5-alpha0.25;602,625;770,25
s50k80m5-alpha0.5;503,0;853,5
s50k80m5-alpha0.75;331,0000000000001;830,75
s50k90m1-alpha0.25;682,0;874,5
s50k90m1-alpha0.5;576,5833333333335;942,0
s50k90m1-alpha0.75;391,08333333333326;892,75
s50k90m2-alpha0.25;760,8750000000002;946,25
s50k90m2-alpha0.5;629,75;1009,0
s50k90m2-alpha0.75;412,9583333333333;929,75
s50k90m3-alpha0.25;697,75;874,75
s50k90m3-alpha0.5;593,5;957,0
s50k90m3-alpha0.75;382,10416666666674;913,25
s50k90m4-alpha0.25;673,375;863,25
s50k90m4-alpha0.5;555,5833333333335;941,5
s50k90m4-alpha0.75;367,7916666666665;909,75
s50k90m5-alpha0.25;744,9166666666667;957,5
s50k90m5-alpha0.5;603,75;1024,5
s50k90m5-alpha0.75;389,6875;947,75
