Instance;Lower_bound;Upper_bound
C1-5-25-75-4-500;9898;9898
C1-5-25-75-5-250;10894;10894
C1-5-25-75-5-500;9898;9898
C1-5-25-75-6-250;10779;10779
C1-5-25-75-6-500;9898;9898
C1-5-25-75-8-250;10779;10779
C1-5-25-75-8-500;9898;9898
D1-1-25-75-4-250;7671;7671
D1-1-25-75-4-500;7671;7671
D1-1-25-75-5-250;7671;7671
D1-1-25-75-5-500;7671;7671
D1-1-25-75-6-250;7671;7671
D1-1-25-75-6-500;7671;7671
D1-1-25-75-8-250;7671;7671
D1-1-25-75-8-500;7671;7671
D1-1-50-50-4-250;11606;11606
D1-1-50-50-4-500;11606;11606
D1-1-50-50-5-250;11090;11090
D1-1-50-50-5-500;11090;11090
D1-1-50-50-6-250;11036;11036
D1-1-50-50-6-500;11036;11036
D1-1-50-50-8-250;11036;11036
D1-1-50-50-8-500;12411;12411
D1-10-50-50-4-250;21112;21112
D1-10-50-50-4-500;20982;20982
D1-10-50-50-5-250;18696;18696
D1-10-50-50-5-500;18696;18696
D1-10-50-50-6-250;17059;17059
D1-10-50-50-6-500;16711;16711
D1-10-50-50-8-250;16989;16989
D1-10-50-50-8-500;16341;16341
D1-5-25-75-4-250;12411;12411
D1-5-25-75-4-500;12411;12411
D1-5-25-75-5-250;11432;11432
D1-5-25-75-5-500;11432;11432
D1-5-25-75-6-250;11432;11432
D1-5-25-75-6-500;9669;9669
D1-5-25-75-8-250;11432;11432
D1-5-25-75-8-500;9312;9312
