Instance;lb_new
s50k80m1-alpha0.75;327,53931159420284
s25k30m5-alpha0.5;353,1285606060606
s25k40m3-alpha0.25;431,7155914592372
s25k50m5-alpha0.25;526,6296428571428
s25k30m3-alpha0.25;337,655455352139
s25k20m5-alpha0.25;262,62064356435644
s40k80m4-alpha0.25;656,9814692982457
s25k30m1-alpha0.75;244,47916666666666
s25k40m1-alpha0.75;290,5625
s10k30m2-alpha0.75;306,9893162393163
s50k90m5-alpha0.25;752,1531058911106
s50k80m3-alpha0.25;659,1284716982755
s10k20m4-alpha0.75;242,0625
s35k60m1-alpha0.25;541,3700693481276
s35k40m4-alpha0.25;451,1541471136515
s10k40m2-alpha0.75;399,99116161616166
s35k60m4-alpha0.5;493,4820512078342
s10k50m4-alpha0.75;445,3816317000941
s35k60m5-alpha0.5;522,4510274420768
s35k50m2-alpha0.25;495,50440170940175
s40k50m3-alpha0.25;456,6531714214928
s35k50m3-alpha0.5;462,2859919505175
s35k50m2-alpha0.5;421,5958881763747
s50k60m1-alpha0.5;413,5761561967444
s10k20m4-alpha0.5;385,72775263951735
s10k20m5-alpha0.5;261,8651528773674
s50k70m3-alpha0.75;334,875
s50k60m5-alpha0.75;283,5311965811965
s35k40m1-alpha0.5;375,05265525805265
s50k70m1-alpha0.25;506,62893942049266
s40k80m5-alpha0.5;534,812208309248
s40k80m4-alpha0.5;542,5405658263304
s50k70m3-alpha0.5;517,6632614430224
s50k70m2-alpha0.5;478,55886815138666
s40k50m1-alpha0.75;252,825
s40k70m4-alpha0.75;320,2868589743589
s40k60m2-alpha0.75;295,0625
s40k70m3-alpha0.5;533,4380175289359
s40k70m2-alpha0.5;523,6711383826192
s50k80m5-alpha0.5;512,8597152836779
s50k80m4-alpha0.5;530,6933681344291
s25k50m1-alpha0.75;327,2916666666666
s25k40m1-alpha0.5;401,8470440251573
s25k20m1-alpha0.75;142,25
s10k40m4-alpha0.75;320,95286885245906
s35k40m2-alpha0.25;422,6646757164405
s35k50m4-alpha0.25;441,6128944075726
s35k70m1-alpha0.25;697,5904768775434
s10k50m2-alpha0.75;527,5272262607566
s10k30m4-alpha0.75;275,0225209497207
s50k90m3-alpha0.25;706,6906001428912
s50k80m5-alpha0.25;609,0694796104684
s10k20m2-alpha0.75;222,36818181818182
s50k90m1-alpha0.75;391,5433333333333
s35k60m5-alpha0.75;324,2816216216215
s40k60m1-alpha0.5;459,11594857904424
s25k50m3-alpha0.5;450,9066215874573
s25k50m2-alpha0.5;506,5453812451876
s35k70m3-alpha0.75;338,7451923076924
s25k30m5-alpha0.25;442,62272727272716
s40k80m2-alpha0.25;696,8697488364033
s25k20m3-alpha0.25;299,1641176470588
s25k40m5-alpha0.25;513,1993137254901
s25k50m3-alpha0.25;536,4717851008459
s50k60m1-alpha0.25;441,6034709265254
s10k50m1-alpha0.5;799,7728301886792
s40k70m2-alpha0.75;348,5982142857141
s40k60m4-alpha0.75;305,64583333333337
s10k40m3-alpha0.5;661,7073711340206
s10k40m2-alpha0.5;630,637069767442
s40k50m5-alpha0.25;465,78120743096935
s50k70m5-alpha0.75;301,6256510416667
s50k60m3-alpha0.75;268,0675
s25k40m2-alpha0.25;463,8351855691478
s25k50m4-alpha0.25;554,6547331240187
s40k70m4-alpha0.5;487,5866666666666
s40k70m5-alpha0.5;488,3277156363394
s25k30m2-alpha0.25;351,0326522281203
s50k80m2-alpha0.5;536,4581355467495
s50k80m3-alpha0.5;548,2875945486447
s40k80m5-alpha0.25;636,4176705094698
s25k20m4-alpha0.25;268,55564223512334
s35k60m2-alpha0.75;306,9770702306079
s10k40m1-alpha0.25;789,54
s35k70m4-alpha0.75;359,05155699177436
s35k50m1-alpha0.75;284,88750000000005
s10k30m1-alpha0.25;544,85
s10k30m3-alpha0.75;224,91491908850736
s50k90m1-alpha0.5;586,1579810681366
s50k90m4-alpha0.25;682,0498756500726
s25k50m4-alpha0.5;457,3346742266657
s25k50m5-alpha0.5;437,17784480909233
s50k80m2-alpha0.25;627,5144711373437
s10k20m5-alpha0.75;175,25
s10k40m3-alpha0.75;432,1928441902638
s35k40m5-alpha0.25;447,7777777777778
s35k50m3-alpha0.25;543,4008978491956
s10k50m5-alpha0.75;441,4942021213423
s50k70m2-alpha0.75;320,07291666666663
s50k60m4-alpha0.75;280,0625
s40k50m2-alpha0.25;426,0142635465937
s40k60m1-alpha0.25;550,9718702066525
s40k50m1-alpha0.5;389,1509056603775
s40k70m5-alpha0.75;327,29166666666663
s10k40m4-alpha0.5;513,3865233263903
s10k40m5-alpha0.5;603,3625617332115
s40k60m3-alpha0.75;314,0
s35k40m3-alpha0.25;391,68398058252427
s10k40m5-alpha0.75;375,5905538868808
s10k50m3-alpha0.75;383,2248104401159
s25k30m3-alpha0.5;292,41112602785694
s35k50m5-alpha0.25;407,94438831756474
s25k30m2-alpha0.5;296,68567753001713
s10k30m5-alpha0.75;252,0
s50k90m2-alpha0.25;767,4484955851683
s50k80m4-alpha0.25;616,3058422572165
s10k20m3-alpha0.75;167,21064814814815
s40k80m1-alpha0.75;384,03125000000006
s35k70m1-alpha0.5;597,97534065239
s25k30m4-alpha0.25;411,823748822606
s25k20m2-alpha0.25;259,53100249454315
s40k80m3-alpha0.25;738,5426457703445
s25k40m4-alpha0.25;564,3749529993815
s25k50m2-alpha0.25;661,4151109130521
s25k20m1-alpha0.5;223,2490196078431
s35k60m3-alpha0.5;439,9166169679377
s35k60m2-alpha0.5;475,41261562068155
s10k20m1-alpha0.25;431,9323913043478
s35k40m1-alpha0.75;243,0
s35k60m4-alpha0.75;323,55208333333326
s35k70m2-alpha0.75;381,58333333333326
s10k50m1-alpha0.25;1034,26
s40k70m3-alpha0.75;344,4583333333333
s40k60m5-alpha0.75;283,7830843815513
s35k50m4-alpha0.5;385,03896198141456
s35k50m5-alpha0.5;361,33073223148887
s10k20m3-alpha0.5;265,5
s10k20m2-alpha0.5;345,4953703703703
s40k80m2-alpha0.5;567,7579246922712
s10k30m1-alpha0.5;450,9281481481482
s40k80m3-alpha0.5;598,0562976646354
s50k70m4-alpha0.5;456,66448717948725
s50k70m5-alpha0.5;469,63169521838773
s50k70m4-alpha0.75;299,1014957264957
s50k60m2-alpha0.75;284,45833333333326
s40k70m1-alpha0.25;605,257100301659
s40k50m4-alpha0.25;498,94513474892454
