id;ident;type;name;latitude_deg;longitude_deg;runway_length;runway_type;wikipedia_category;elevation_ft;continent;country_name;iso_country;region_name;iso_region;local_region;municipality;scheduled_service;gps_code;icao_code;iata_code;local_code;home_link;wikipedia_link;keywords;score;last_updated
35368;AF14;small_airport;Tapa Airport;32,745098;62,598701;250;dirt;small_local;2622;AS;Afghanistan;AF;Farah Province;AF-FRA;FRA;Farah Rud;0;;;;;;;;50;2021-02-22T10:14:50+00:00
341251;AF-0011;small_airport;Forward Operating Base Arian Airfield;33,50443;68,414262;901;asphalt;military;7106;AS;Afghanistan;AF;Ghazni Province;AF-GHA;GHA;Ghazni;0;;;;;;;;50;2021-11-02T12:45:16+00:00
341235;OAGN;small_airport;Ghazni Airport;33,487853;68,525243;2200;asphalt;major_domestic;;AS;Afghanistan;AF;Ghazni Province;AF-GHA;GHA;Ghazni;0;OAGN;OAGN;GZI;;;https://en.wikipedia.org/wiki/Ghazni_Airport;;50;2025-02-20T23:21:44+00:00
333170;OAJG;small_airport;Joghari Airport;33,158323;67,546136;1190;asphalt;small_local;8248;AS;Afghanistan;AF;Ghazni Province;AF-GHA;GHA;Joghari;0;OAJG;;;;;;Jaghuri, Jaghori, Jaghowri;50;2021-10-29T21:47:58+00:00
35365;OASL;small_airport;Salerno Airport;33,3638;69,9561;1219;asphalt;small_local;3780;AS;Afghanistan;AF;Khost Province;AF-KHO;KHO;Khost;0;OASL;OASL;OLR;;;https://en.wikipedia.org/wiki/FOB_Salerno;FOB Salerno;50;2025-02-21T00:06:28+00:00
31787;OAHN;small_airport;Khwahan Airport;37,890021;70,20383;1030;gravel;regional_domestic;3593;AS;Afghanistan;AF;Badakhshan Province;AF-BDS;BDS;Khwahan;0;OAHN;OAHN;KWH;;;https://en.wikipedia.org/wiki/Khwahan_Airport;;50;2024-05-17T08:16:04+00:00
35362;AF08;small_airport;Kutub Khel Airport;34,192902;69,135696;2460;gravel;small_local;6273;AS;Afghanistan;AF;Logar Province;AF-LOW;LOW;Kutub Khel;0;;;;;;;Kotubkhel;50;2021-02-22T13:45:55+00:00
35376;AF-0022;small_airport;Lal (Sarjangal) Airport;34,506716;66,298068;693;dirt;small_local;9220;AS;Afghanistan;AF;Ghōr Province;AF-GHO;GHO;Lal;0;OALL;;;;;;;50;2025-03-10T02:45:47+00:00
30795;OABT;small_airport;Bost Airport;31,5597;64,364998;2302;asphalt;major_domestic;2464;AS;Afghanistan;AF;Helmand Province;AF-HEL;HEL;Lashkar Gah;0;OABT;OABT;BST;;;https://en.wikipedia.org/wiki/Bost_Airport;;50;2024-05-17T08:15:09+00:00
341243;AF-0006;small_airport;Mohammad Agha Wuluswali Airport;34,171971;69,035309;2340;asphalt;small_local;;AS;Afghanistan;AF;Logar Province;AF-LOW;LOW;Mohammad Agha;0;;;;;;;;50;2021-10-29T21:19:17+00:00
35377;AF-0023;small_airport;Muqur Airport;32,879601;67,848602;1265;dirt;small_local;6600;AS;Afghanistan;AF;Ghazni Province;AF-GHA;GHA;Muqur;0;OAMK;;;;;;;50;2025-03-10T03:04:06+00:00
35378;OANL;small_airport;Nili Airport;33,739456;66,157408;1350;gravel;regional_domestic;;AS;Afghanistan;AF;Daykundi Province;AF-DAY;DAY;Nili;0;OANL;;;;;https://en.wikipedia.org/wiki/Nili_Airport;Nillli;50;2022-10-27T15:23:01+00:00
35364;OARG;small_airport;Uruzgun Airport;32,90299988;66,63089752;1430;dirt;small_local;6725;AS;Afghanistan;AF;Orūzgān Province;AF-URU;URU;Orūzgān;0;OARG;OARG;URZ;;;;Uruzgan, Urozgan;50;2014-02-22T16:35:27+00:00
35380;AF-0024;small_airport;Panjab Airport;34,391726;67,020445;366;gravel;small_local;8800;AS;Afghanistan;AF;Bamiyan Province;AF-BAM;BAM;Panjab;0;OAPJ;;;;;;Panyab, Panjao, Pan Jao;50;2025-03-10T05:46:51+00:00
300672;OADY;small_airport;Dwyer Airport;31,091265;64,066053;2439;asphalt;military;2380;AS;Afghanistan;AF;Helmand Province;AF-HEL;HEL;Reg;0;OADY;OADY;DWR;;http://militarybases.com/overseas/afghanistan/camp-dwyer/;https://en.wikipedia.org/wiki/Camp_Dwyer;;50;2021-02-22T10:37:33+00:00
35381;OART;small_airport;Rostaq Airport;37,10681;69,848892;1520;dirt;small_local;4543;AS;Afghanistan;AF;Takhar Province;AF-TAK;TAK;Rostaq;0;OART;;;;;;Rustag;50;2021-02-22T14:20:17+00:00
5077;OASG;small_airport;Sheberghan Airport;36,751076;65,913038;2621;asphalt;regional_domestic;1053;AS;Afghanistan;AF;Jowzjan Province;AF-JOW;JOW;Sheberghan;0;OASG;;;;;https://en.wikipedia.org/wiki/Sheberghan_Airfield;;50;2021-04-11T13:38:28+00:00
32288;OASN;small_airport;Sheghnan Airport;37,497642;71,508484;803;gravel;regional_domestic;6700;AS;Afghanistan;AF;Badakhshan Province;AF-BDS;BDS;Shiveh;0;OASN;OASN;SGA;;;https://en.wikipedia.org/wiki/Sheghnan_Airport;;50;2024-06-07T10:21:28+00:00
35382;OARZ;small_airport;Razer Airport;36,029893;70,714159;884;gravel;small_local;;AS;Afghanistan;AF;Badakhshan Province;AF-BDS;BDS;Skazar;0;OARZ;OARZ;KUR;;;https://en.wikipedia.org/wiki/Razer_Airport;;50;2024-04-03T16:24:48+00:00
35323;OATQ;small_airport;Taleqan Airport;36,770699;69,531998;1574;gravel;regional_domestic;2606;AS;Afghanistan;AF;Takhar Province;AF-TAK;TAK;Taleqan;0;OATQ;OATQ;TQN;;;https://en.wikipedia.org/wiki/Taloqan_Airport;Taluqan, Taloqan;50;2021-02-22T14:23:01+00:00
35383;AF-0025;small_airport;Taywarah Airport;33,54309;64,42542;593;dirt;small_local;7370;AS;Afghanistan;AF;Ghōr Province;AF-GHO;GHO;Taywarah;0;OATW;;;;;https://en.wikipedia.org/wiki/Taywara_Airport;Teh Wareh, Tewara, Taywara;50;2025-03-10T06:31:51+00:00
35359;AF04;small_airport;Helmand Airport;30,303216;61,868904;1560;asphalt;small_local;;AS;Afghanistan;AF;Nimruz Province;AF-NIM;NIM;Tofangca;0;;;;AF04;;;;50;2021-02-22T13:57:49+00:00
35379;OAOG;small_airport;Urgun Airport;32,939933;69,150064;800;dirt;small_local;7300;AS;Afghanistan;AF;Paktika Province;AF-PKA;PKA;Urgun;0;OAOG;OAOG;URN;;;;Urgoon;50;2021-02-22T14:03:12+00:00
35363;AF09;small_airport;Nayak Airport;34,687099;66,893204;1600;dirt;small_local;8650;AS;Afghanistan;AF;Bamiyan Province;AF-BAM;BAM;Yakawlang;0;;;;;;;;50;2021-02-22T10:11:10+00:00
31750;AF-0017;small_airport;Salerno South Airport;33,333401;69,952003;2180;dirt;small_local;3756;AS;Afghanistan;AF;Khost Province;AF-KHO;KHO;Khost;1;;;;;;;;100;2025-02-21T00:04:57+00:00
525033;OANZ;small_airport;Nimroz Airport;30,963333;62,060833;2740;asphalt;regional_domestic;1581;AS;Afghanistan;AF;Nimruz Province;AF-NIM;NIM;;0;OANZ;;;;;;;50;2024-04-08T08:55:25+00:00
353642;OALP;small_airport;Little Pamir Airport;37,244444;74,251944;1040;dirt;small_local;13340;AS;Afghanistan;AF;Badakhshan Province;AF-BDS;BDS;Erghail;0;OALP;;;;;;;50;2022-03-20T21:06:16+00:00
333168;OAEM;small_airport;Ishkashim Airport;36,71272;71,61261;1120;gravel;small_local;8420;AS;Afghanistan;AF;Badakhshan Province;AF-BDS;BDS;Ishkashim;0;OAEM;;;;;https://en.wikipedia.org/wiki/Eshkashem_Airport;Eshkashem Airport, Sultan Ishkashim;50;2025-03-20T01:30:39+00:00
35361;AF07;small_airport;Khwaja Ghar South Airport;37,061623;69,487765;2430;dirt;small_local;1645;AS;Afghanistan;AF;Takhar Province;AF-TAK;TAK;Khwaja Ghar;0;;;;;;;Khvej Ghar South;50;2021-02-22T14:17:12+00:00
32080;OAQM;small_airport;Koran va Monjan  Airport;36,01707;70,76085;900;dirt;regional_domestic;8420;AS;Afghanistan;AF;Badakhshan Province;AF-BDS;BDS;Koran va Monjan;0;OAQM;;;;;;Kron Monjan;50;2021-04-21T21:32:01+00:00
355707;OAQA;small_airport;Qalat Airport;32,133839;66,898917;1501;gravel;military;5383;AS;Afghanistan;AF;Zabul Province;AF-ZAB;ZAB;Qalat;0;OAQA;;;;;https://en.wikipedia.org/wiki/Qalat_Airport;;50;2022-07-18T10:07:38+00:00
35372;OADS;small_airport;Sardeh Band Airport;33,3207016;68,6364975;2104;gravel;regional_domestic;6971;AS;Afghanistan;AF;Ghazni Province;AF-GHA;GHA;Sardeh Band;0;OADS;OADS;SBF;;;https://en.wikipedia.org/wiki/Sardeh_Band_Airport;;50;2014-02-22T16:02:22+00:00
32081;OASA;small_airport;Sharana Airstrip;33,12575;68,838517;1300;asphalt;small_local;7340;AS;Afghanistan;AF;Paktika Province;AF-PKA;PKA;Sharana;0;OASA;OASA;OAS;;;https://en.wikipedia.org/wiki/Sharana_Airstrip;Sharana Air Base;50;2024-05-17T08:16:54+00:00
35385;OAYQ;small_airport;Yangi Qaleh Airport;37,459;69,646599;610;dirt;small_local;1600;AS;Afghanistan;AF;Takhar Province;AF-TAK;TAK;Yangi Qaleh;0;OAYQ;;;;;https://en.wikipedia.org/wiki/Yangi_Qaleh_Airport;Yangi Qala;50;2024-05-21T13:47:38+00:00
35386;OAYW;small_airport;Yawan Airport;37,563636;70,444496;567;dirt;small_local;5645;AS;Afghanistan;AF;Badakhshan Province;AF-BDS;BDS;Yawan;0;OAYW;;;;;https://en.wikipedia.org/wiki/Yawan_Airport;;50;2024-05-18T21:11:57+00:00
35369;AF15;heliport;Qara Tepa Heliport;37,423302;69,430298;;;unclear;1437;AS;Afghanistan;AF;Takhar Province;AF-TAK;TAK;Qara Tepa;1;;;;;;;;625;2021-02-22T14:16:05+00:00
35357;OA1A;heliport;Marnah Ghar Heliport;32,336899;68,940598;;;heliport;5558;AS;Afghanistan;AF;Paktika Province;AF-PKA;PKA;Gomal;0;;;;;;;Forward Operating Base Carlson;25;2021-02-22T14:04:48+00:00
35370;AF-0019;heliport;Toorghodi Heliport;35,222198;62,2906;;;heliport;2600;AS;Afghanistan;AF;Herat Province;AF-HER;HER;Kara Tapa;0;;OATD;;;;;;25;2025-03-16T15:56:35+00:00
341248;AF-0008;heliport;Camp Qargha North Heliport;34,548535;69,06869;;;heliport;;AS;Afghanistan;AF;Kabul Province;AF-KAB;KAB;Kabul;0;;;;;;;Camp Phoenix;0;2021-02-22T11:32:41+00:00
341249;AF-0009;heliport;Camp Qargha South Heliport;34,539752;69,071963;;;heliport;;AS;Afghanistan;AF;Kabul Province;AF-KAB;KAB;Kabul;0;;;;;;;Camp Phoenix;0;2021-02-22T11:33:23+00:00
341250;AF-0010;heliport;Camp Warehouse Heliport;34,54016;69,30969;;;heliport;;AS;Afghanistan;AF;Kabul Province;AF-KAB;KAB;Kabul;0;;;;;;;;0;2021-02-22T11:48:37+00:00
341252;AF-0012;heliport;UNOCA Heliport;34,54526;69,27494;;;heliport;;AS;Afghanistan;AF;Kabul Province;AF-KAB;KAB;Kabul;0;;;;;;;;0;2021-02-22T12:01:38+00:00
341247;AF-0007;heliport;Forward Operating Base Bostick Heliport;35,208583;71,523219;;;heliport;;AS;Afghanistan;AF;Kunar Province;AF-KNR;KNR;Naray;0;;;;;;;;0;2021-02-22T11:27:17+00:00
